Radars;Date;pdssr;pdpsr;pda;pdc;iva;ivc;fc;ft;mt;rng;azim;stat
LARCE;29/10/2020 00:00;;49,78;;;;;;;;13,4;-0,05;
LARCE;30/10/2020 00:00;;40,99;;;;;;;;19,5;-0,03;
LARCE;31/10/2020 00:00;;27,44;;;;;;;;15,4;-0,01;
LARCE;01/11/2020 00:00;;53,18;;;;;;;;29;-0,03;
LARCE;02/11/2020 00:00;;52,22;;;;;;;;46;-0,03;
S723E;03/11/2020 00:00;95,11;85,6;99,92;99,94;0;0,04;0,04;0;0,24;17,3;-0,05;
EBBE;03/11/2020 00:00;64,35;56,96;95,63;95,14;0,16;0,05;0,21;0,14;0,86;91,8;-0,19;
EBBL;03/11/2020 00:00;;16,2;;;;;;;;-14,3;-0,03;geen SSR data
GEEK;03/11/2020 00:00;;;;;;;;;;;;geen data
GEMB;03/11/2020 00:00;96,94;87,39;98,03;98,49;0,75;0,47;1,14;0,01;0,79;35,1;0,17;
EBFS;03/11/2020 00:00;86,18;73,93;99,88;99,62;0;0,01;0,01;0;0,01;-7,2;0,02;
EBSH;03/11/2020 00:00;96,24;82,37;99,74;99,42;0;0,02;0,02;0;0,04;-6,7;0,05;
LARCE;03/11/2020 00:00;;42,33;;;;;;;;-13,4;-0,04;
S723E;04/11/2020 00:00;94,19;84,38;99,95;99,84;0;0,01;0,01;0;0,17;22,2;-0,04;
S723E;05/11/2020 00:00;93,9;86,85;99,93;99,91;0;0,04;0,04;0;0,19;58;-0,04;
S723E;06/11/2020 00:00;94,23;84,09;99,94;99,89;0;0,02;0,02;0,01;0,09;37,2;-0,04;
S723E;07/11/2020 00:00;94,04;82,47;99,93;99,21;0;0;0,01;0;0,03;27,4;-0,04;
S723E;08/11/2020 00:00;95,55;86,76;99,89;99,9;0;0,01;0,01;0;0,03;26,1;-0,04;
EBBE;04/11/2020 00:00;73,01;59,83;93,2;92,21;0,13;0,1;0,23;0,04;1,01;107,9;-0,18;
EBBE;05/11/2020 00:00;74,82;61,91;92,88;92,01;0,09;0,06;0,14;0,02;1,08;133,4;-0,2;
EBBE;06/11/2020 00:00;69,72;56,53;91,28;89,59;0,07;0,18;0,25;0,04;0,98;49,3;-0,18;
EBBE;07/11/2020 00:00;65,64;53,49;94,39;92,62;0,05;0,11;0,15;0,04;0,68;107,9;-0,21;
EBBE;08/11/2020 00:00;69,12;61,82;96,25;95,43;0,1;0,13;0,22;0,05;0,76;96,1;-0,23;
EBBL;04/11/2020 00:00;;14,97;;;;;;;;-2,6;-0,04;geen SSR data
EBBL;05/11/2020 00:00;;13,76;;;;;;;;50;-0,04;geen SSR data
EBBL;06/11/2020 00:00;;11,36;;;;;;;;1,2;-0,02;geen SSR data
EBBL;07/11/2020 00:00;;8,65;;;;;;;;-5,3;-0,01;geen SSR data
EBBL;08/11/2020 00:00;;12,5;;;;;;;;13,9;-0,03;geen SSR data
GEEK;04/11/2020 00:00;;;;;;;;;;;;onderhoud
GEEK;05/11/2020 00:00;;;;;;;;;;;;onderhoud
GEEK;06/11/2020 00:00;;;;;;;;;;;;onderhoud
GEEK;07/11/2020 00:00;;;;;;;;;;;;onderhoud
GEEK;09/11/2020 00:00;96,66;72,82;99,65;98,61;0,04;0,02;0,05;0;0,47;39,4;0,01;
GEMB;09/11/2020 00:00;94,85;82,73;97,37;97,75;1,03;0,55;1,45;0;1,01;53,1;0,15;
EBFS;09/11/2020 00:00;86,42;80,24;99,85;99,17;0,04;0,02;0,05;0;0;-18,8;0,01;
EBSH;09/11/2020 00:00;91,57;78,9;99,64;99,41;0,05;0,01;0,05;0;0,04;-32,8;0,07;
LARCE;09/11/2020 00:00;;35,2;;;;;;;;-5,8;-0,03;
S723E;10/11/2020 00:00;92,66;84,76;99,88;99,87;0,07;0,01;0,08;0;0,08;17,6;-0,04;
S723E;11/11/2020 00:00;92,07;83,05;99,84;99,9;0;0,04;0,04;0;0,24;20,5;-0,04;
S723E;12/11/2020 00:00;90,42;81,92;99,92;99,62;0;0,03;0,03;0;0,26;24,7;-0,04;
EBBE;10/11/2020 00:00;68,63;63,48;95,65;94,64;0,04;0,15;0,17;0,08;1,37;149;-0,22;
EBBE;11/11/2020 00:00;67,23;59,42;97,44;96,95;0,07;0,07;0,13;0,19;0,86;80,3;-0,17;
EBBE;12/11/2020 00:00;64,36;57,45;94,99;94,19;0,15;0,09;0,24;0,07;1,1;116,8;-0,18;
EBBL;10/11/2020 00:00;;15,45;;;;;;;;35,2;-0,05;geen SSR data
EBBL;11/11/2020 00:00;;17,47;;;;;;;;21;-0,04;geen SSR data
